epoch,c1_accuracy,c1_loss,c2_accuracy,c2_loss,c3_accuracy,c3_loss,c4_accuracy,c4_loss,c5_accuracy,c5_loss,c6_accuracy,c6_loss,c7_accuracy,c7_loss,loss,val_c1_accuracy,val_c1_loss,val_c2_accuracy,val_c2_loss,val_c3_accuracy,val_c3_loss,val_c4_accuracy,val_c4_loss,val_c5_accuracy,val_c5_loss,val_c6_accuracy,val_c6_loss,val_c7_accuracy,val_c7_loss,val_loss
0,0.07833333313465118,3.819607973098755,0.3233333230018616,3.3847177028656006,0.05000000074505806,4.371518611907959,0.056333333253860474,4.122049808502197,0.08699999749660492,3.924729108810425,0.09099999815225601,3.89217209815979,0.08699999749660492,3.757936954498291,27.27273941040039,0.06612902879714966,3.0916199684143066,0.4048387110233307,2.526031494140625,0.04838709533214569,3.504655122756958,0.07741935551166534,3.410926580429077,0.0903225839138031,3.204049825668335,0.08870967477560043,3.055006742477417,0.09838709980249405,3.0086121559143066,21.8009033203125
1,0.07500000298023224,2.989335298538208,0.34299999475479126,2.4674489498138428,0.043666668236255646,3.472252607345581,0.06833333522081375,3.337106466293335,0.08299999684095383,3.08642840385437,0.09166666865348816,2.9322259426116943,0.10400000214576721,2.9294166564941406,21.214218139648438,0.06129032373428345,3.0068602561950684,0.4048387110233307,2.3165249824523926,0.04354838654398918,3.448397397994995,0.07741935551166534,3.340151309967041,0.09838709980249405,3.0941827297210693,0.08870967477560043,2.939785957336426,0.09838709980249405,2.896733522415161,21.042634963989258
2,0.07466666400432587,2.9741666316986084,0.34299999475479126,2.4483957290649414,0.058666665107011795,3.4545371532440186,0.070333331823349,3.3262710571289062,0.08399999886751175,3.073786497116089,0.09533333033323288,2.9158082008361816,0.09666666388511658,2.9183967113494873,21.111366271972656,0.05806451663374901,2.998978853225708,0.4048387110233307,2.299503803253174,0.0903225839138031,3.436962842941284,0.07741935551166534,3.327620267868042,0.0903225839138031,3.082435369491577,0.10967741906642914,2.9143218994140625,0.1225806474685669,2.872847318649292,20.93267059326172
3,0.09700000286102295,2.9731264114379883,0.35899999737739563,2.301788091659546,0.09399999678134918,3.348283529281616,0.11166666448116302,3.2314670085906982,0.16033333539962769,2.9767282009124756,0.1783333271741867,2.8298327922821045,0.1420000046491623,2.868837833404541,20.530065536499023,0.1387096792459488,2.928452730178833,0.42741936445236206,1.8356138467788696,0.25322580337524414,3.0991227626800537,0.23064516484737396,3.057508707046509,0.3129032254219055,2.772063970565796,0.2919354736804962,2.591864824295044,0.3096774220466614,2.6372969150543213,18.92192268371582
4,0.13833333551883698,2.978501558303833,0.5106666684150696,1.6534125804901123,0.257666677236557,2.66042160987854,0.29600000381469727,2.592442274093628,0.3736666738986969,2.3112242221832275,0.4099999964237213,2.1790974140167236,0.33899998664855957,2.393484115600586,16.768587112426758,0.17258064448833466,2.809497833251953,0.6838709712028503,1.1375272274017334,0.4887096881866455,2.133101463317871,0.46451613306999207,2.107405662536621,0.5693548321723938,1.8862968683242798,0.6338709592819214,1.6954771280288696,0.5967742204666138,1.9292895793914795,13.698593139648438
5,0.18833333253860474,2.8790979385375977,0.6433333158493042,1.1604905128479004,0.3959999978542328,1.9567688703536987,0.4463333189487457,1.892195463180542,0.5393333435058594,1.6452207565307617,0.5853333473205566,1.4879965782165527,0.5223333239555359,1.7736473083496094,12.795414924621582,0.22741936147212982,2.705655574798584,0.7370967864990234,0.9792031645774841,0.5080645084381104,1.7882757186889648,0.5193548202514648,1.8116486072540283,0.6435483694076538,1.539668083190918,0.7145161032676697,1.3762876987457275,0.625806450843811,1.5627694129943848,11.763506889343262
6,0.22233332693576813,2.723764419555664,0.7020000219345093,0.9153780937194824,0.47466665506362915,1.64521324634552,0.5376666784286499,1.5404596328735352,0.6136666536331177,1.3153226375579834,0.6660000085830688,1.1527873277664185,0.612666666507721,1.396155595779419,10.689082145690918,0.2564516067504883,2.6244308948516846,0.8032258152961731,0.7645558714866638,0.5903225541114807,1.4645791053771973,0.5822580456733704,1.4815080165863037,0.6741935610771179,1.2657358646392822,0.7532258033752441,1.1372873783111572,0.7290322780609131,1.2351601123809814,9.973258972167969
7,0.28733333945274353,2.539896249771118,0.746999979019165,0.7452528476715088,0.534333348274231,1.4139978885650635,0.5863333344459534,1.3328100442886353,0.6840000152587891,1.0967248678207397,0.7400000095367432,0.9318258166313171,0.6766666769981384,1.151950478553772,9.212458610534668,0.3354838788509369,2.4574379920959473,0.7967742085456848,0.6191434860229492,0.6532257795333862,1.1482934951782227,0.6532257795333862,1.2133653163909912,0.7596774101257324,0.9756050109863281,0.800000011920929,0.9143410921096802,0.7790322303771973,0.9908230900764465,8.319010734558105
8,0.31166666746139526,2.400590181350708,0.7663333415985107,0.6833349466323853,0.6046666502952576,1.199833631515503,0.6349999904632568,1.1598440408706665,0.7096666693687439,0.9478598833084106,0.7586666941642761,0.8174278140068054,0.7106666564941406,1.006831169128418,8.215721130371094,0.3774193525314331,2.3326094150543213,0.8435483574867249,0.5296542644500732,0.698387086391449,1.0210522413253784,0.6903225779533386,1.0890611410140991,0.7806451320648193,0.8669413924217224,0.8048387169837952,0.8056121468544006,0.7935484051704407,0.9417536854743958,7.586684226989746
9,0.34966665506362915,2.2345056533813477,0.8220000267028809,0.5459796786308289,0.6420000195503235,1.0590301752090454,0.6769999861717224,1.0127946138381958,0.7556666731834412,0.8279241323471069,0.8023333549499512,0.6687924265861511,0.7426666617393494,0.9104644656181335,7.259488105773926,0.4048387110233307,2.1465892791748047,0.8677419424057007,0.4651881456375122,0.7096773982048035,0.9565353989601135,0.6967741847038269,0.9590035676956177,0.7870967984199524,0.7755614519119263,0.8209677338600159,0.6957077383995056,0.8064516186714172,0.8251776099205017,6.823764324188232
